Tip,Marka,StanjeKilometra,GodinaProizvodnje
Titan,Nissan,72612,2007
Jetta,Volkswagen,80637,2009
Rally Wagon,GMC,137080,1990
MDX,Acura,170278,2002
Astro Cargo,Chevrolet,201750,2002
Silverado 1500,Chevrolet,97162,1999
Accord,Honda,237355,2005
C-Class,Mercedes-Benz,106544,2005
G37,Infiniti,118632,2009
Cruze,Chevrolet,76769,2011
Golf,Volkswagen,77232,2012
XK,Jaguar,66114,2009
F-250 Super Duty,Ford,42659,2007
Sienna,Toyota,100999,2012
Accord,Honda,179084,2006
Sequoia,Toyota,107691,2012
Tacoma,Toyota,85146,2007
Civic,Honda,160140,2011
FX,Infiniti,35919,2011
Impreza,Subaru,96641,2008
Lancer Sportback,Mitsubishi,96663,2012
E-Class,Mercedes-Benz,54985,2008
Silverado 2500HD,Chevrolet,121445,2008
F-450 Super Duty,Ford,50038,2009
SRX,Cadillac,194946,2007
Dakota,Dodge,163740,2010
Crown Victoria,Ford,242643,2006
Titan,Nissan,73085,2006
Silverado 3500HD,Chevrolet,152343,2008
MAZDA6,Mazda,145139,2007
Crossfire,Chrysler,69195,2008
Navigator,Lincoln,54408,2006
DB9,Aston Martin,57923,2006
RX 330,Lexus,101128,2006
Ram Pickup 3500,Dodge,166917,2009
GTI,Volkswagen,91562,2011
ION,Saturn,113963,2007
Tacoma,Toyota,117263,2007
Forte,Kia,53605,2011
CR-V,Honda,57512,2006
Suburban,Chevrolet,128466,2010
F-350 Super Duty,Ford,54929,2011
Civic,Honda,100751,2010
tC,Scion,140373,2007
Sportage,Kia,119768,2010
F-150,Ford,178636,2007
XLR,Cadillac,53687,2007
Caliber,Dodge,79289,2008
Grand Cherokee,Jeep,83124,2012
Mustang,Ford,147553,2009
TrailBlazer,Chevrolet,152866,2008
Silverado 2500HD Classic,Chevrolet,200810,2007
Camry Solara,Toyota,52605,2008
Kizashi,Suzuki,113690,2010
Silverado 1500,Chevrolet,140937,2009
Dakota,Dodge,140046,2008
Sierra 2500HD,GMC,169511,2009
F-250 Super Duty,Ford,129536,2011
F-150,Ford,51608,2010
X-Type,Jaguar,189101,2007
Savana Cargo,GMC,53313,2011
RX 350,Lexus,72579,2011
G37,Infiniti,70645,2009
Pilot,Honda,175154,2008
Sierra 3500HD,GMC,157595,2007
Compass,Jeep,157165,2007
Silverado 2500HD,Chevrolet,89216,2008
Silverado 1500,Chevrolet,66034,2012
G35,Infiniti,145122,2006
New Beetle,Volkswagen,130929,2010
Sierra 3500HD,GMC,187565,2007
SLR McLaren,Mercedes-Benz,166077,2006
Civic,Honda,180088,2009
MDX,Acura,78265,2010
350Z,Nissan,191325,2008
Sierra 2500HD,GMC,124605,2006
Escape,Ford,96206,2012
F-350 Super Duty,Ford,46901,2012
Titan,Nissan,60390,2012
C30,Volvo,107933,2011
TSX,Acura,91779,2011
Nitro,Dodge,167685,2010
Sierra 3500HD,GMC,79933,2009
MAZDA3,Mazda,70823,2012
Tundra,Toyota,70187,2010
F-250 Super Duty,Ford,58983,2007
F-250 Super Duty,Ford,134053,2009
Pilot,Honda,126494,2008
MKX,Lincoln,72700,2009
Sierra 1500,GMC,84186,2008
CX-7,Mazda,178953,2009
MAZDA6,Mazda,63599,2008
Caliber,Dodge,152742,2010
Venza,Toyota,88507,2011
6 Series,BMW,186914,2008
H3,HUMMER,133866,2008
Civic,Honda,60047,2009
Explorer Sport Trac,Ford,143044,2007
Dakota,Dodge,159956,2008
HHR,Chevrolet,140361,2010
